filename,page,mention,location,source
2011_Peters_East Markoye_2011.txt,55,"Hirdes, W., Davis, D. W., (2002). U-Pd geochronology of Palaeoproterozoic rocks in the 
southern  part  of  the  Kedougou-Kenieba  Inlier,  Senegal,  West  Africa:  Evidence  for 
diachronous accretionary development of the Eburnean province. Precambrian Research, 
118, 83-99. Klein, E.L., Moura, C.A.V., (2009). São Luis craton and Gurupi belt (Brazil): possible 
links with the West African craton and surroundings Pan-African belts.",Brazil,llm
2011_Peters_East Markoye_2011.txt,"52,53,54","Birimian 
lithological  succession  and  structural  evolution  in  the  Goren  Segment  of  the  Boromo-
Goren Greenstone Belt, Burkina Faso. Journal of African Earth Sciences, 39, 1–23. Hein,  K. A. A.,  (2010). Succession  of  structural  events  in  the  Goren  greenstone  belt 
(Burkina  Faso):  Implications  for  West  African  tectonics. || Dott, R. H., (1964). Wacke, Graywacke and matrix-what approach to immature sandstone 
classification? Journal of Sedimentary Petrology, 34, 625-632. Feybesse,  J.-L.,  Milesi,  J.-P.,  Ouedraogo,  M.F.,  Prost,  A.,  (1990). La  ‘‘ceinture’’ 
Proterozoıque  inferieur  de  Boromo–Goren  (Burkina  Faso):  un  exemple  d’interference 
entre  deux  phases  transcurrentes  eburneenes. || Principles of Sedimentology and stratigraphy: Fourth Edition, Pearson 
Prentice Hall, New Jersey, 662 pp. Bossiere,  G.,  Bonkoungou,  I.,  Peucat,  J. J.,  Pupin,  J. P.,  (1996). Origin  and  age  of 
Palaeoproterozoic  conglomerates  and  sandstones  of  the  Tarkwaian  Group  in  Burkina 
Faso, West Africa. Precambrian Research, 80, 153-172.",Burkina Faso,llm
2011_Peters_East Markoye_2011.txt,58,"Cambridge 
University Press, Cambridge, 446. 57",Cambridge,llm
2011_Peters_East Markoye_2011.txt,10,"This resulted 
in thick units of greywacke being deposited which is similar and therefore significant for the 
East  Markoye  region. The  tectonic  setting  of  the  Wanganui  Basin  is  described  in  detail  by 
Proust  et  al. (2005). They  explained  that  the  basin  is  situated  on  the  Australian  Plate 
approximately  200  km  behind  an  active  zone  of  subduction. In  this  subduction  zone,  the 
Pacific  Plate  is  thrust  beneath  the  Australian  Plate  obliquely. The  angle  of  subduction  has 
remained constant for about 25 million years and is responsible for the creation of large fault 
systems that lie between the fore-arc basin and the Wanganui Basin.",East Markoye region,llm
2011_Peters_East Markoye_2011.txt,57,"Pawlig, S., Gueye, M., Klischies, R., Schwarz, S., Wemmer, K., Siegesmund, S., (2006). Geochemical and Sr–Nd isotopic data on the Birimian of the Kedougou-Kenieba Inlier 
(Eastern Senegal): implications on the Palaeoproterozoic evolution of the West African 
Craton. South African Journal of Geology, 109, 411–427. Proust, J. N., Lamarche, G., Nodder, S., Kamp, P. J.",Eastern Senegal,llm
2011_Peters_East Markoye_2011.txt,55,"Hirdes, W., Davis, D. W., (2002). U-Pd geochronology of Palaeoproterozoic rocks in the 
southern  part  of  the  Kedougou-Kenieba  Inlier,  Senegal,  West  Africa:  Evidence  for 
diachronous accretionary development of the Eburnean province. Precambrian Research, 
118, 83-99. Klein, E.L., Moura, C.A.V., (2009). São Luis craton and Gurupi belt (Brazil): possible 
links with the West African craton and surroundings Pan-African belts.",Eburnean province,llm
2011_Peters_East Markoye_2011.txt,"11,12","The  tonalite  intruded  a  granite  adamellite 
west of the Markoye Shear Zone. To the east, it intrudes Palaeoproterozoic sedimentary and 
volcanic sequences (Tshibubudze and Hein, in review). A swarm of late dolerite dykes which 
trend WNW and NW cross-cut the supracrustal rocks of the Birimian Supergroup. They are 
dated at 250 Ma. Tshibubudze et al. (2009) classified dolerite dykes with the same trend in 
the north-east of Burkina Faso, at Essakane, which also cross-cut supracrustal rocks including 
greywacke and siltstone. || Tshibubudze  et  al. (2009)  described 
gold mineralisation at Essakane and observed that it exists in stockwork veins that are made 
up  of  quartz  and  carbonate  material. Tshibubudze  et  al. (2009)  explained  that  Essakane 
goldfield hosts gold-bearing veins in an anticline that formed in D1 and was dilated in D2. 11",Essakane,llm
2011_Peters_East Markoye_2011.txt,38,"sequence  with  occasional  mud  drapes  making  up  the  Bouma  Te/f  layer  of  the  sequence. Layers A and B often occur together in coarser grained sediments which is the case for the 
greywackes (Boggs, 2004) as shown by Figure 14. Figure 14: Classic model of the Bouma Cycle (Shanmugam, 1997). Stratigraphically, the entire field area was previously assigned to the metasedimentary rocks 
of the Tarkwa Group (Milesi et al., 1989, 1992; Castaing et al., 2003) which represents the 
erosional  product  of  the  Birimian  Supergroup. The  correlation  with  the  Tarkwa  Group  was 
based on the single conglomerate unit in the study area and several conglomerate bands near 
the  Essakane  gold  mine  (Milesi  et  al.,  1989,  1991;  Bossiere  et  al.,  1996). The  Tarkwaian 
conglomerates in the type section in Ghana consist mostly of quartz vein clasts and a minor 
proportion  of  quartzite  pebbles  in  a  dark,  fine-grained,  sandy  matrix.",Essakane gold mine,llm
2011_Peters_East Markoye_2011.txt,"38,43,53,55,56,9","A 
Classification of Igneous Rocks and Glossary of terms: Recommendations of the 
International Union of Geological Sciences Subcommission on the Systematics of 
Igneous Rocks. Blackwell Scientific Publications, Oxford, U.K. 236 pp. Leube, A., Hirdes, W., Mauer, R., Kesse, G. O., (1990). The early Proterozoic Birimian 
Supergroup of Ghana and some aspects of its associated gold mineralization. || P., Johan, V., Tegyey, M., Calvez, J. Y., Lagny, P., 
(1989). West  African  gold  deposits,  in  their  lower  Proterozoic  lithostructural  setting. Chronique de la Recherche Miniere, 497, 3–98. Milesi,  J.P.,  Ledru,  P.,  Ankrah,  P.,  Johan,  V.,  Marcoux,  E.,  Vinchon,  C.,  (1991). The 
metallogenic  relationship  between  Birimian  and  Tarkwaian  gold  deposits  in  Ghana. || R.,  (1998). A  review  of  Wanganui  Basin,  New  Zealand: 
global 
reference 
section 
for 
shallow  marine,  Plio–Pleistocene 
(2.5–0  Ma) 
cyclostratigraphy. Sedimentary Geology, 122, 37-52. Davis,  D. W.,  Hirdes,  W.,  Schaltegger,  Nunoo,  A.,  (1994). U–Pb  age  constraints  on 
deposition and provenance of Birimian and gold-bearing Tarkwaian sediments in Ghana, 
West Africa. || These  authors  mentioned  that  the  Tarkwa 
Group formed as a result of erosion of Birimian rocks and overlies the Birimian Supergroup 
unconformably. Milesi  et  al. (1989,  1992)  stated  that  the  region  to  the  east  of  the  town  of 
Markoye  is  made  up  Tarkwa  Group  sediments. Tshibubudze  et  al. (2009)  disagreed  with 
these conclusions as the stratigraphy does not match the type section for the Tarkwa Group in 
Ghana (Milesi et al., 1989, 1991; Bossiere et al., 1996). Brown  et  al. || This  is  shown  by  the  lower  greywacke  unit  in  the  stratigraphic  succession, 
having  a much higher abundance of lithic fragments  and igneous minerals  compared to  the 
overlying units. The Dembam Conglomerate Member and those described by Tshibubudze et 
al.,  (2009)  lower  down  in  the  stratigraphy  may  have  been  deposited  very  rapidly,  possibly 
within 1 day. Perhaps this occurred during times of flood. This negates the idea of the field 
area’s original classification of Tarkwa Group rocks (Milesi et al., 1989, 1992). The Tarkwa 
Group, in the type section in Ghana overlies the Birimian supracrustal rocks unconformably. The  Dembam  Conglomerate  Member  is  interbedded  within  greywacke  from  the  Birimian 
Supergroup and does not fit the description for the Tarkwaian Group, post-orogenic molasse 
deposits, as described in Ghana (Milesi et al., 1991; Leube et al., 1990). || sequence  with  occasional  mud  drapes  making  up  the  Bouma  Te/f  layer  of  the  sequence. Layers A and B often occur together in coarser grained sediments which is the case for the 
greywackes (Boggs, 2004) as shown by Figure 14. Figure 14: Classic model of the Bouma Cycle (Shanmugam, 1997). Stratigraphically, the entire field area was previously assigned to the metasedimentary rocks 
of the Tarkwa Group (Milesi et al., 1989, 1992; Castaing et al., 2003) which represents the 
erosional  product  of  the  Birimian  Supergroup. The  correlation  with  the  Tarkwa  Group  was 
based on the single conglomerate unit in the study area and several conglomerate bands near 
the  Essakane  gold  mine  (Milesi  et  al.,  1989,  1991;  Bossiere  et  al.,  1996). The  Tarkwaian 
conglomerates in the type section in Ghana consist mostly of quartz vein clasts and a minor 
proportion  of  quartzite  pebbles  in  a  dark,  fine-grained,  sandy  matrix.",Ghana,llm
2011_Peters_East Markoye_2011.txt,5,"(2004)  concluded  that  the 
Goren  Greenstone  Belt  of  north-east  Burkina  Faso  is  made  up  of  metamorphosed  volcanic 
and pyroclastic rock units that are intercalated with metasedimentary rocks, thus revising the 
type section stratigraphy of that belt. This research focuses on different geological aspects and provides a holistic study of the field 
area. Due  to  the  lack  of  field  work  in  the  region,  basic  stratigraphy  is  not  known  in  many 
parts  of  the  WAC. However,  Tshibubudze  and  Hein  (in  review)  have  established  a 
stratigraphy  for  the  OGGB  in  a  large  way. The  study  area  characterizes  the  greywacke 
sequence,  establishes  its  internal  stratigraphy  and  looks  at  its  relationships  with  intrusive 
rocks that crop out throughout the region. The rocks in the field area are well exposed which 
is not the case for other parts of the belt, making correlation difficult.",Goren Greenstone Belt,llm
2011_Peters_East Markoye_2011.txt,54,"Birimian 
lithological  succession  and  structural  evolution  in  the  Goren  Segment  of  the  Boromo-
Goren Greenstone Belt, Burkina Faso. Journal of African Earth Sciences, 39, 1–23. Hein,  K. A. A.,  (2010). Succession  of  structural  events  in  the  Goren  greenstone  belt 
(Burkina  Faso):  Implications  for  West  African  tectonics.",Goren Segment,llm
2011_Peters_East Markoye_2011.txt,54,"Birimian 
lithological  succession  and  structural  evolution  in  the  Goren  Segment  of  the  Boromo-
Goren Greenstone Belt, Burkina Faso. Journal of African Earth Sciences, 39, 1–23. Hein,  K. A. A.,  (2010). Succession  of  structural  events  in  the  Goren  greenstone  belt 
(Burkina  Faso):  Implications  for  West  African  tectonics.",Goren greenstone belt,llm
2011_Peters_East Markoye_2011.txt,55,"Hirdes, W., Davis, D. W., (2002). U-Pd geochronology of Palaeoproterozoic rocks in the 
southern  part  of  the  Kedougou-Kenieba  Inlier,  Senegal,  West  Africa:  Evidence  for 
diachronous accretionary development of the Eburnean province. Precambrian Research, 
118, 83-99. Klein, E.L., Moura, C.A.V., (2009). São Luis craton and Gurupi belt (Brazil): possible 
links with the West African craton and surroundings Pan-African belts.",Gurupi belt,llm
2011_Peters_East Markoye_2011.txt,58,"Evolution of a Paleoproterozoic ‘‘weak type” orogeny in the West African Craton (Ivory 
Coast). Tectonophysics, 477, 145–159. Vernon, R. H., Clarke, G. L., (2008). Principles of metamorphic geology.",Ivory Coast,llm
2011_Peters_East Markoye_2011.txt,"54,57","Blackwell 
Scientific Publishing, London, 351-388. Furnes,  H.,  Ravanas,  R.,  (1995). The  use  of  geochemical  data  in  determining  the 
provenance and tectonic setting of ancient sedimentary successions:the Kalvag Melange, 
western  Norwegion  Caledonides. In:  Plint  A. G. (Ed.),  Sedimentary  Facies  Analysis:  A 
tribute to the research and teaching of Harold G. || J., (2005). Sedimentary architecture 
of a Plio-Pleistocene proto-back-arc basin: Wanganui Basin, New Zealand. Sedimentary 
Geology, 181, 107-145. Ravanas,  R.,  (1991). A  sedimentological,  geochemical  and  provenance  study  of  the 
Kalvag  Melange,  western  Norwegian  Caledonides,  Thesis  (unpublished). University  of 
Bergen, 212 pp.",Kalvag Melange,llm
2011_Peters_East Markoye_2011.txt,"54,57","Journal  of  African  Earth 
Sciences, 56, 83-94. Hein, K.A.A., Matabane, M.R., in review . The gold-bearing intrusion-related deposits of 
the FE3 opencast gold mines, Sadiola goldfield, Kedougou-Kéniéba Inlier, western Mali. Ore Geology Reviews. 53 || Pawlig, S., Gueye, M., Klischies, R., Schwarz, S., Wemmer, K., Siegesmund, S., (2006). Geochemical and Sr–Nd isotopic data on the Birimian of the Kedougou-Kenieba Inlier 
(Eastern Senegal): implications on the Palaeoproterozoic evolution of the West African 
Craton. South African Journal of Geology, 109, 411–427. Proust, J. N., Lamarche, G., Nodder, S., Kamp, P. J.",Kedougou-Kenieba Inlier,llm
2011_Peters_East Markoye_2011.txt,54,"Blackwell 
Scientific Publishing, London, 351-388. Furnes,  H.,  Ravanas,  R.,  (1995). The  use  of  geochemical  data  in  determining  the 
provenance and tectonic setting of ancient sedimentary successions:the Kalvag Melange, 
western  Norwegion  Caledonides. In:  Plint  A. G. (Ed.),  Sedimentary  Facies  Analysis:  A 
tribute to the research and teaching of Harold G.",London,llm
2011_Peters_East Markoye_2011.txt,"11,57","Earth-Science 
Reviews, 12, 1-33. Tshibubudze, A., Hein,  K. A. A., Marquis, P.,  (2009). The Markoye Shear  Zone in  NE 
Burkina Faso. Journal of African Earth Sciences, 55, 245–256. || Tshibubudze et al. (2009) described the Markoye Shear Zone and 
the  Takabangou  Shear  Zone,  which  trend  NNE  and  are  steeply-east  dipping. Hein  (2010) 
10",Markoye Shear Zone,llm
2011_Peters_East Markoye_2011.txt,28,"This type 
of  alteration  is  common  and  can  affect  mafic  to  felsic  rocks  during  crystallisation. An 
example  where  deuteric  alteration  affects  quartz  monzonites,  similar  in  composition  to  the 
dykes  of  the  field  area,  is  from  the  Boulder  Batholith  in  Montana,  USA. In  this  case,  the 
alteration is related to the formation of ore deposits hosted within the intrusion (Neuerburg, 
1958). 27","Montana, USA",llm
2011_Peters_East Markoye_2011.txt,54,"Relative timing of deformational, metamorphic and 
mineralisation events at the Mt. Todd (Yimuyn Manjerr) Mine, Pine Creek Inlier, 
Northern Territory, Australia. Ore Geology Reviews, 22, 143-175. Hein,  K. A. A.,  Morel,  V.,  Kagone,  O.,  Kiemde,  F.,  Mayes,  K.,  (2004).",Mt. Todd (Yimuyn Manjerr) Mine,llm
2011_Peters_East Markoye_2011.txt,57,"Earth-Science 
Reviews, 12, 1-33. Tshibubudze, A., Hein,  K. A. A., Marquis, P.,  (2009). The Markoye Shear  Zone in  NE 
Burkina Faso. Journal of African Earth Sciences, 55, 245–256.",NE Burkina Faso,llm
2011_Peters_East Markoye_2011.txt,52,"Principles of Sedimentology and stratigraphy: Fourth Edition, Pearson 
Prentice Hall, New Jersey, 662 pp. Bossiere,  G.,  Bonkoungou,  I.,  Peucat,  J. J.,  Pupin,  J. P.,  (1996). Origin  and  age  of 
Palaeoproterozoic  conglomerates  and  sandstones  of  the  Tarkwaian  Group  in  Burkina 
Faso, West Africa. Precambrian Research, 80, 153-172.",New Jersey,llm
2011_Peters_East Markoye_2011.txt,"10,43","A similar, modern environment exists in the Wanganui Basin in New Zealand. The Wanganui 
Basin is a shallow marine environment from the Plio-Pleistocene and exhibits a full range of 
sedimentary facies. It is still being in-filled today with sediment from an active volcanic arc 
(Carter and Naish.,  1998). Thick sequences of  greywacke and thin conglomerate beds from 
the Mezozoic are deposited in the 5 km deep basin and overlie basement rocks (Proust et al., 
2005). The basin is interpreted to occupy a back-arc setting today at the convergent margin of 
the  Pacific  and  Australian  plates,  where  rapid  deposition  has  taken  place  due  to  eustatic 
changes  (Carter  and  Naish.,  1998). The  Wanganui  Basin  is  infilled  with  shales,  sandstones 
and  thick  greywacke  sequences  with  intercalated  conglomerate  beds. || This  is  a  good 
correlation  to  the  sediments  of  the  Birimian  Supergroup  and  particularly  the  4  km  thick 
sequence of greywacke in the study area. It is typical for thick sedimentary sequences to be 
deposited  during  the  spreading  of  a  back-arc  environment  like  in  back-arc  environments  in 
Norway  (between  Solund  and  Bremanger)  and  New  Zealand  (Ravanas,  1991;  Ravanas  and 
Furnes, 1995; Carter and Naish., 1998). Sediment sourced from the arc settings  was transported in river systems that travelled from 
the uplifted regions, towards the basin. The sediment was then deposited in a deltaic system. The  greywackes  were  deposited  in  this  deltaic  system  on  a  steep  submarine  slope  which 
allowed for rapid deposition, gravity sliding and slumping, synonymous with turbiditic flows. The erosion rate of the arc is interpreted as getting progressively slower throughout the filling 
of  the  basin. || according to Leube et al. (1990) and Milesi et al. (1991) is classified as being predominantly 
conglomerate units with smaller sandstone and phyllite units. The  formation  of  thick  greywacke  sequences  generally  relates  to  rapid  deposition  as  to 
disallow  sorting  of  material. In  review  of  large  greywacke  units  in  modern  day  or  recent 
geological  environments,  the  Wanganui  Basin  in  New  Zealand  is  described  by  Carter  and 
Naish  (1998)  and  Proust  et  al. (2005)  as  a  shallow  marine  environment  that  is  Plio-
Pleistocene  in  age.",New Zealand,llm
2011_Peters_East Markoye_2011.txt,"54,56","G., Page, R. W., (1988). Tectonic evolution of the Pine 
Creek Inlier, Nothern Territory. Precambrian Research, 40/41, 543-564. Nesse,  W. D.,  (2000). || Relative timing of deformational, metamorphic and 
mineralisation events at the Mt. Todd (Yimuyn Manjerr) Mine, Pine Creek Inlier, 
Northern Territory, Australia. Ore Geology Reviews, 22, 143-175. Hein,  K. A. A.,  Morel,  V.,  Kagone,  O.,  Kiemde,  F.,  Mayes,  K.,  (2004).",Northern Territory,llm
2011_Peters_East Markoye_2011.txt,43,"This  is  a  good 
correlation  to  the  sediments  of  the  Birimian  Supergroup  and  particularly  the  4  km  thick 
sequence of greywacke in the study area. It is typical for thick sedimentary sequences to be 
deposited  during  the  spreading  of  a  back-arc  environment  like  in  back-arc  environments  in 
Norway  (between  Solund  and  Bremanger)  and  New  Zealand  (Ravanas,  1991;  Ravanas  and 
Furnes, 1995; Carter and Naish., 1998). Sediment sourced from the arc settings  was transported in river systems that travelled from 
the uplifted regions, towards the basin. The sediment was then deposited in a deltaic system. The  greywackes  were  deposited  in  this  deltaic  system  on  a  steep  submarine  slope  which 
allowed for rapid deposition, gravity sliding and slumping, synonymous with turbiditic flows. The erosion rate of the arc is interpreted as getting progressively slower throughout the filling 
of  the  basin.",Norway (between Solund and Bremanger),llm
2011_Peters_East Markoye_2011.txt,"28,5","(2004)  concluded  that  the 
Goren  Greenstone  Belt  of  north-east  Burkina  Faso  is  made  up  of  metamorphosed  volcanic 
and pyroclastic rock units that are intercalated with metasedimentary rocks, thus revising the 
type section stratigraphy of that belt. This research focuses on different geological aspects and provides a holistic study of the field 
area. Due  to  the  lack  of  field  work  in  the  region,  basic  stratigraphy  is  not  known  in  many 
parts  of  the  WAC. However,  Tshibubudze  and  Hein  (in  review)  have  established  a 
stratigraphy  for  the  OGGB  in  a  large  way. The  study  area  characterizes  the  greywacke 
sequence,  establishes  its  internal  stratigraphy  and  looks  at  its  relationships  with  intrusive 
rocks that crop out throughout the region. The rocks in the field area are well exposed which 
is not the case for other parts of the belt, making correlation difficult. || the rock and is rimmed by hornblende. Chlorite replaces hornblende. There is a high quartz 
concentration (~85-90 %) in a number of the granodiorite samples, which can interpreted as 
crustal contamination or wall-rock interaction during emplacement. The  dykes  crop  out  throughout  the  OGGB  and  host  gold  mineralisation  just  north  of  the 
Essakane  goldfield  (Tshibubudze  and  Hein,  in  review). They  are  deuterically  altered 
indicating low temperature metasomatism related to primary mineral changes in the magma 
before  solidification. The  crystals  remain  the  same  in  composition  but  are  essentially 
destroyed as the mineral begins to break down compositionally (Neuerburg, 1958).",OGGB,llm
2011_Peters_East Markoye_2011.txt,"2,5","2.0. Introduction 
2.1. Preamble 
The  study  area  is  situated  in  the  Oudalan-Gourouol  Greenstone  Belt  (OGGB)  in  north-east 
Burkina  Faso  (Fig. 1). Besides  the  research  completed  by  Tshibubudze  et  al. (2009)  which 
only encompassed a minor portion to the north of the study area, the study area has not been 
previously  mapped  or  described. || Abstract 
The  rocks  of  the  Oudalan-Gourouol  Greenstone  Belt  (OGGB)  are  largely  made  up  of 
supracrustal,  island-arc  derived  sediments  including,  but  not  limited  to,  thick  greywacke 
sequences. These were deposited in a deltaic-shelf environment on the margin of a back-arc 
basin. The  local  stratigraphy  has  been  constrained  by  facies  variation  determined  by 
sedimentary  features  and  differences  in  the  depositional  environment. Regional  low-middle 
greenschist  metamorphism  is  shown  by  the  ubiquitous  presence  of  chlorite,  epidote  and 
minor  muscovite  and  is  suggested  to  be  a  result  of  large  TTG  pluton  emplacement  that 
occurred  syn-tectonically  with  the  Eburnean  Orogeny. This  thesis  proposes  it  is  due  to 
diastathermal  metamorphism  caused  by  back-arc  extension  and  mantle  upwelling. Contact 
metamorphism of the greywacke to hornblende-hornfels facies occurs within close proximity 
of  the  calc-alkaline  dykes.",Oudalan-Gourouol Greenstone Belt,llm
2011_Peters_East Markoye_2011.txt,57,"Tshibubudze,  A.,  Hein,  K.A.A.,  in  review. Structural  setting  of  gold  deposits  in  the 
Oudalan-Gourouol greenstone belt east of the Markoye Shear Zone, West African craton. Precambrian Research. Vidal, M., Gumaix, C., Cagnard, F., Pouclet, A., Ouattara, G., Pichon, M., (2009). 56",Oudalan-Gourouol greenstone belt,llm
2011_Peters_East Markoye_2011.txt,55,"A 
Classification of Igneous Rocks and Glossary of terms: Recommendations of the 
International Union of Geological Sciences Subcommission on the Systematics of 
Igneous Rocks. Blackwell Scientific Publications, Oxford, U.K. 236 pp. Leube, A., Hirdes, W., Mauer, R., Kesse, G. O., (1990). The early Proterozoic Birimian 
Supergroup of Ghana and some aspects of its associated gold mineralization.","Oxford, U.K.",llm
2011_Peters_East Markoye_2011.txt,10,"The  basin  demonstrates  a  full  range  of  sedimentary  facies. Carter  and 
Naish  (1998)  identified  that  equal  amounts  of  sedimentation  and  subsidence  are  necessary. Uplift  and  subsidence  were,  in  the  case  of  the  Wanganui  Basin,  controlled  by  eustatic 
changes which created an environment prone to rapid deposition. The Wanganui Basin sits in 
a  back-arc  setting  at  the  convergence  of  the  Pacific  Plate  with  the  Australian  Plate. It  is 
possible  that  its  formation  occurred  in  the  same  environment. Lithospheric  loading  and 
downwarping created by adjacent subduction is credited with basin formation.",Pacific Plate,llm
2011_Peters_East Markoye_2011.txt,55,"Hirdes, W., Davis, D. W., (2002). U-Pd geochronology of Palaeoproterozoic rocks in the 
southern  part  of  the  Kedougou-Kenieba  Inlier,  Senegal,  West  Africa:  Evidence  for 
diachronous accretionary development of the Eburnean province. Precambrian Research, 
118, 83-99. Klein, E.L., Moura, C.A.V., (2009). São Luis craton and Gurupi belt (Brazil): possible 
links with the West African craton and surroundings Pan-African belts.",Pan-African belts,llm
