filename,location,pages,mentions,source,location_type,geocode_lat,geocode_lon,geocode_str,geocode_type
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Côte d’lvoire,31,"The spider diagram of the studied granodiorite is comparable with spider diagrams for the 
Dabakala region in Côte d’lvoire  (appendix 1) (Gasquet et al., 2003). The diagrams exhibit 
negative  Ta,  Ti  and  Nb,  which  are  usually  associated  with  titaniferous  minerals  retained  in 
the  residuum  (White,  2012). A  negative  Ce  and  Nb  anomaly  is  generally  regarded  as  an 
indicator  of  crustal  contamination  (fig  6.2.2.)  (Rollinson,  1993). The  positive  Sr  anomaly 
attests to  declining role of plagioclase in  melt  production (Holland &  Turekian, 2003). The 
positive  Sr  coupled  with  Eu  anomaly,  indicates  that  plagioclase  was  not  retained  in  the 
residuum  during  partial  melting  or  fractionated  during  magma  differentiation  (Rollinson, 
1993; Holland & Turekian, 2003). 7.4.",rules,PLACE,7.9897371,-5.5679458,Côte d'Ivoire,APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Dabakala,"26,5","Hirdes  et  al.,  1996  proposed  the  gneissic  terrane  in  the  Dabakala 
predate 2.1 Ga batholith intrusions. This was rejected by Gasquet et al., 2003 who concluded 
the gneiss were syntectonic despite zircons recovered at 2.3 Ga. 5 || The  samples  are  enriched  in  LILE  relative  to 
HFSE  (Fig  6.2.3). The  spider  plot  exhibit  similarities  with  the  samples  from  the  Dabakala 
region in Côte d’lvoire that were described by Gasquet et al., 2003 (Fig 6.2.2 and appendix 
1). The gneisses in the spider plot exhibit a prominent negative Ti and P anomaly. The migmatite exhibit a REE pattern that is relatively flat (Fig 6.2.1). The sample’s REE 
pattern is depleted relative to the granodiorite, gneisses and K-rich vein. The flat REE pattern 
suggests that the migmatite’s source rock lacked garnet.","llm,rules",PLACE,8.363238,-4.428486,"Dabakala, Hambol, Vallée du Bandama, Côte d'Ivoire",APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Dabakala region in Cote d'Ivoire,"26,31,37","Appendix 1 
REE diagrams of the Dabakala region in Côte d’lvoire (Gasquet et al., 2003) 
Spider diagram of the Dabakala region in Côte d’lvoire (Gasquet et al., 2003) 
37 || The  samples  are  enriched  in  LILE  relative  to 
HFSE  (Fig  6.2.3). The  spider  plot  exhibit  similarities  with  the  samples  from  the  Dabakala 
region in Côte d’lvoire that were described by Gasquet et al., 2003 (Fig 6.2.2 and appendix 
1). The gneisses in the spider plot exhibit a prominent negative Ti and P anomaly. The migmatite exhibit a REE pattern that is relatively flat (Fig 6.2.1). The sample’s REE 
pattern is depleted relative to the granodiorite, gneisses and K-rich vein. The flat REE pattern 
suggests that the migmatite’s source rock lacked garnet. || The spider diagram of the studied granodiorite is comparable with spider diagrams for the 
Dabakala region in Côte d’lvoire  (appendix 1) (Gasquet et al., 2003). The diagrams exhibit 
negative  Ta,  Ti  and  Nb,  which  are  usually  associated  with  titaniferous  minerals  retained  in 
the  residuum  (White,  2012). A  negative  Ce  and  Nb  anomaly  is  generally  regarded  as  an 
indicator  of  crustal  contamination  (fig  6.2.2.)  (Rollinson,  1993). The  positive  Sr  anomaly 
attests to  declining role of plagioclase in  melt  production (Holland &  Turekian, 2003). The 
positive  Sr  coupled  with  Eu  anomaly,  indicates  that  plagioclase  was  not  retained  in  the 
residuum  during  partial  melting  or  fractionated  during  magma  differentiation  (Rollinson, 
1993; Holland & Turekian, 2003). 7.4.",llm,GEOLOGICAL_UNIT,7.9897371,-5.5679458,Côte d'Ivoire,APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt","Dabakala region, Cote d'Ivoire",34,"7.5. Comparison other regions in the craton similar to the study area 
Granitoid  intrusion  associated  with  orthogneiss  and  migmatites  where  previously 
described by Hirdes et al., 1996, Doumbia et al., 1998, Gasquet et al., 2003, Naba et al., 2004 
and Vegas et al., 2008. The Pissila batholith and the Saaba zone gneiss are petrologically and 
geochemically  similar  to  gneissic  terranes  in  the  sodic  calc-alkaline  granitoids  in  the 
Dabakala region, Côte d’lvoire and the batholiths in north eastern Burkina Faso (appendix 1). Therefore,  the  Pissila  batholith  and  the  Saaba  zone  were  possibly  derived  from  similar 
processes  that  formed  the  above  regions. In  both  regions  the  granitoids  are  associated  with 
first  group  of  granitoid  intrusion  ca  2.1  Ga,  which  is  similar  to  the  age  (2143  ±12  Ma  and 
2117 ±17Ma) of the Pissila batholith (Gasquet et al., 2003, Vegas et al., 2008). In  a  study  of  granitoid-gneissic  terrane  in  the  Dabakala  region,  Hirdes  et  al.,  1996 
proposed  that  the  gneisses  where  intruded  by  younger  batholiths.",llm,GEOLOGICAL_UNIT,8.363238,-4.428486,"Dabakala, Hambol, Vallée du Bandama, Côte d'Ivoire",APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Doumbia,30,"Archean TTG are thought to have formed by partial melting of a hydrated oceanic crust or 
partial  melting of a thickened crust, leaving  a  garnet-bearing  amphibolite residuum (Martin 
and Moyen, 2002). The latter is not favoured to produce Archean TTG (Martin et al., 2005). The TTG are thought to represent felsic melt that interacted with  the mantle during diapiric 
ascent (Clarke, 1992). Partial melting of the lower thickened crust could not have allowed the 
melt to interact with the mantle prior to emplacement (Smithes, 2000). According to Doumbia et al., 1998, the concave up HREE end is typical of Archean TTG 
and  of  calc-alkaline  granitoids  in  the  region. Depletion  of  HREE  relative  to  LREE  is 
controlled by garnet and amphiboles retained in the residuum (Rollinson, 1993).",rules,PLACE,13.1048886,-7.6105285,"Doumba, Koulikoro Cercle, Koulikoro, Mali",APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Eburnean orogeny,4,"Abstract  
The  Pissila  batholith  is  a  foliated  coarse-grained  granodiorite,  which  is  located  in  north 
eastern Burkina Faso. The batholith was emplaced at 2143 ±12 Ma and 2117 ±17Ma, coeval 
with  the  Eburnean  orogeny. The  Eburnean  orogeny  represents  a  period  of  major  crustal 
growth in an island arc setting. The batholith is geochemically similar to other calc-alkaline 
granitoids in the domain. The Saaba zone gneiss, which is locally migmatitic is located within 
the  Pissila  batholith. Geochemically,  the  gneiss  and  migmatites  have  some  Archean  TTG 
affiliations.",rules,PLACE,no-geocode-result,no-geocode-result,no-geocode-result,no-geocode-result
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Evensen,27,"Fig. 6.2.1. REE plot of the gneiss and K-rich vein are comparable. The granodiorite and migmatites 
exhibit REE pattern that differ from the gneiss. This may indicate the samples are not related to each 
other.Normalising  values from Evensen et al., 1978 
27",rules,PLACE,52.5784043,9.525243,"Evensen, Neustadt am Rübenberge, Region Hannover, Lower Saxony, Germany",APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Gapais,32,"migration  becomes  the  dominate  feature. The  development  of  quartz  with  chessboard 
extinction  occurs  during  inversion  of  α-quartz  to  β-quartz  which  occurs  at  630°  ±  30°C 
(Kruhl, 1996).Based on quartz with chessboard extinction  metamorphic temperatures that the 
gneiss and migmatites experienced where at least 630°C. Granodiorite 
Subsequent 
to  magma  emplacement  and  crystallisation, 
the  granodiorite  was 
metamorphosed  and  deformed. Epidote  and  chlorite  found  in  the  sample  suggests 
metamorphism  to  greenschist  facies. Microstructures  in  the  samples  seem  to  support  low 
temperature metamorphism. Fracturing  of  plagioclase,  microcline  and  quartz  as  the  predominate  method  of 
deformation typically occurs at  greenschist facies metamorphism (Gapais, 1989).",rules,PLACE,no-geocode-result,no-geocode-result,no-geocode-result,no-geocode-result
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Ghana,7,"The  Upper  Birimian  consists  of  tholeiitic  lavas,  which  are  locally  pillowed, 
intercalated with  turbidites and  meta-volcanoclastic sedimentary  rocks  (Debat  et  al., 
2003). The Tarkwaian  unconformably overlies the Upper Birimian  and  consist  of coarse  clastic 
sedimentary  unit  (Tshibubudze  et  al.,  2009). The  description  of  the  unit  is  based  on  work 
done in Ghana (Eisenlohr and Hirdes, 1992). I. The Tarkwaian includes basal conglomerates from the Kewese Group (Pohl, 1998). II. || The Kénéma-Man domain  was deformed and  metamorphosed during two major tectonic 
events. The Leonean cycle, ca 3.0 Ga is associated with north-south trending structures and 
metamorphism of basement rocks to granulite- facies (Cahen et al., 1984; Thieblemont et al., 
2004). The  Liberian  event,  ca  2.7  Ga  resulted  in  N-S  to  NNE-SSW  trending  structures 
(Thieblemont  et  al.,  2004). The  Liberian  event  culminated  with  TTG  batholith  intrusions 
(Skinner et al., 2004). 2.2. Palaeoproterozoic Baoulé-Mossi domain 
The  Birimian  was  first  described  by  Kitsh  from  outcrops  in  the  Birim  River  Valley  in 
southern  Ghana  (Pohl,  1998).","llm,rules",PLACE,8.0300284,-1.0800271,Ghana,APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Goren-greenstone belt,7,"Shales, quartzite and meta-conglomerates of the Banket Group. III. Overlying the Banket Group are shales and phyllites of the Tarkwa formation (Cahen 
et al., 1984; Tshibubudze et al., 2009). The above Anglophone Birimian sequence was inverted by the Francophone school. The 
predominately  volcanic  units  were  interpreted  as  being  younger  than  the  metasedimentary 
units (Milési et al., 1992).However, during a study of the Goren-greenstone belt in Burkina 
7",llm,GEOLOGICAL_UNIT,no-geocode-result,no-geocode-result,no-geocode-result,no-geocode-result
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",H2O,11,"Samples  were  crushed 
and finely milled for both methods. Major elements were analyzed using WDXRF from fused disks. The milled samples were 
mixed with  a pre-ignition  flux and heated to  1,020°C for 50 minutes. H2O- and  H2O+ were 
then calculated. The mixture was mechanically pressed into a fussed disked and analyzed. Samples  for  ICP-MS  were  prepared  by  mixing  the  milled  powder  with  HNO3/HF  and 
heated to 235°C.",rules,PLACE,52.1060685,8.6859087,"H2O Herford, 90, Wiesestraße, Friedenstal, Herford, Kreis Herford, North Rhine-Westphalia, 32052, Germany",APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Hastings,8,"Faso, Hein et al., (2004) concluded that sub-dividing the Birimian into two units did not fit 
the conformable nature of the sequence. Instead, they found three intercalated meta-volcanic 
and  meta-volcanic  sequences  (Tshibubudze  et  al.,  2009). According  to  Tagini,  (1971)  in 
Hastings,  (1982),  the  Birimian  was  deposited  in  an  intra-continental  rift  basin,  followed  by 
sedimentation  and  localized  volcanism. The  Birimian  and  the  Tarkwaian  are  considered  to 
represent  transition  from  a  deep  marine  to  sub-aerial  depositional  environment  caused  by 
uplift during craton accretion (Pohl, 1998). 2.3. Magmatic Intrusions  
Granitoids  cover  approximately  70%  of  the  Baoulé-Mossi  domain  (Debat  et  al.,  2003).",rules,PLACE,50.8553888,0.5824703,"Hastings, East Sussex, England, United Kingdom",APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Holland,29,"The  samples  are  depleted  in  HREE  relative  to  LREE,  which  indicates  a  garnet  and 
amphibolite-bearing  source  rock  or  residuum  (Holland  &  Turekian,  2003). Migmatites 
exhibits a flat REE slope, which may suggests that garnet and amphiboles had a minor role 
melt production. 7.2. Gneiss and migmatite 
The migmatites exhibit some similarities to Archean TTG. The samples exhibit SiO2> 70 
wt%,  Na2O/K2O>0.5,  K2O/Na2O<0.5,  which  is  characteristic  of  Archean  TTG  (Clarke, 
1992). Thus the gneiss and migmatite may have formed from processes similar to those that 
form  Archean  TTG.",rules,PLACE,52.2434979,5.6343227,Netherlands,APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Illustrates,14,"Figure 5.1.1. (A) Primary intergrowth between hornblende, quartz, plagioclase and Fe-Ti oxide. (B) 
Hornblende with twinning lamellae  that is oblique to cleavage. Cleavage direction is indicated with 
yellow  lines. (C)  Illustrates  biotite  with folded  cleavage  and  undulose  extinction. (D)  Quartz  in  the 
centre exhibit deformation bands.",rules,PLACE,no-geocode-result,no-geocode-result,no-geocode-result,no-geocode-result
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Kenema-Man domain,"6,7","2. Regional Geology 
The West African Craton consists of several shields. The Archean-Palaeoproterozoic Leo-
Man  rise  in  the  south  and  the  Reguibat  rise  in  the  north,  which  are  separated  by  the 
Phanerozoic Toudeni basin. The Leo-Man rise consists of the Archean Kénéma-Man domain 
and the Palaeoproterozoic Baoulé-Mossi domain (Fig 2.1) (Cahen et al., 1984). Fig 2.1. The West African Craton consists of the Archean and Palaeoproterozoic Reguibat in the north 
and the Leo-Man in the south (Béziat et al., 2008). || The Kénéma-Man domain  was deformed and  metamorphosed during two major tectonic 
events. The Leonean cycle, ca 3.0 Ga is associated with north-south trending structures and 
metamorphism of basement rocks to granulite- facies (Cahen et al., 1984; Thieblemont et al., 
2004). The  Liberian  event,  ca  2.7  Ga  resulted  in  N-S  to  NNE-SSW  trending  structures 
(Thieblemont  et  al.,  2004). The  Liberian  event  culminated  with  TTG  batholith  intrusions 
(Skinner et al., 2004). 2.2. Palaeoproterozoic Baoulé-Mossi domain 
The  Birimian  was  first  described  by  Kitsh  from  outcrops  in  the  Birim  River  Valley  in 
southern  Ghana  (Pohl,  1998).",llm,GEOLOGICAL_UNIT,7.9450752,-11.727446,"Ray and Man's Bar, Bo- Kenema Highway, Goma Town, Bo, Bo District, Sierra Leone",APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Leo-Man,6,"2. Regional Geology 
The West African Craton consists of several shields. The Archean-Palaeoproterozoic Leo-
Man  rise  in  the  south  and  the  Reguibat  rise  in  the  north,  which  are  separated  by  the 
Phanerozoic Toudeni basin. The Leo-Man rise consists of the Archean Kénéma-Man domain 
and the Palaeoproterozoic Baoulé-Mossi domain (Fig 2.1) (Cahen et al., 1984). Fig 2.1. The West African Craton consists of the Archean and Palaeoproterozoic Reguibat in the north 
and the Leo-Man in the south (Béziat et al., 2008).",rules,PLACE,42.5968863,-5.5719594,"Leo man, Calle Burgo Nuevo, Centro, León, Castile and León, 24004, Spain",APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Leo-Man rise,6,"2. Regional Geology 
The West African Craton consists of several shields. The Archean-Palaeoproterozoic Leo-
Man  rise  in  the  south  and  the  Reguibat  rise  in  the  north,  which  are  separated  by  the 
Phanerozoic Toudeni basin. The Leo-Man rise consists of the Archean Kénéma-Man domain 
and the Palaeoproterozoic Baoulé-Mossi domain (Fig 2.1) (Cahen et al., 1984). Fig 2.1. The West African Craton consists of the Archean and Palaeoproterozoic Reguibat in the north 
and the Leo-Man in the south (Béziat et al., 2008).",llm,PLACE,42.5968863,-5.5719594,"Leo man, Calle Burgo Nuevo, Centro, León, Castile and León, 24004, Spain",APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Lower,7,"The  lithostratigraphic  sequence  became  the  subject  of 
controversy,  where  two  schools  of  thought  emerged;  the  Anglophone  and  Francophone. Junner (from the Anglophone school) sub-divided the Birimian into the Lower and the Upper 
Birimian (Hirdes et al., 1996). I. The Lower Birimian is predominately composed of metasedimentary rocks, including 
argillites, shale and conglomerates (Roddaz et al., 2007). The metasedimentary rocks 
are  intercalated  with  dacite  and  rhyolite  metavolcanic  rocks  (Tshibubudze  et  al., 
2009). II.",rules,PLACE,0.3132141,32.6060423,"Lower, Kampala, Central Region, Uganda",APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Man,6,"2. Regional Geology 
The West African Craton consists of several shields. The Archean-Palaeoproterozoic Leo-
Man  rise  in  the  south  and  the  Reguibat  rise  in  the  north,  which  are  separated  by  the 
Phanerozoic Toudeni basin. The Leo-Man rise consists of the Archean Kénéma-Man domain 
and the Palaeoproterozoic Baoulé-Mossi domain (Fig 2.1) (Cahen et al., 1984). Fig 2.1. The West African Craton consists of the Archean and Palaeoproterozoic Reguibat in the north 
and the Leo-Man in the south (Béziat et al., 2008).",rules,PLACE,54.1936805,-4.5591148,Isle of Man,APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Martin,30,"Archean TTG are thought to have formed by partial melting of a hydrated oceanic crust or 
partial  melting of a thickened crust, leaving  a  garnet-bearing  amphibolite residuum (Martin 
and Moyen, 2002). The latter is not favoured to produce Archean TTG (Martin et al., 2005). The TTG are thought to represent felsic melt that interacted with  the mantle during diapiric 
ascent (Clarke, 1992). Partial melting of the lower thickened crust could not have allowed the 
melt to interact with the mantle prior to emplacement (Smithes, 2000). According to Doumbia et al., 1998, the concave up HREE end is typical of Archean TTG 
and  of  calc-alkaline  granitoids  in  the  region. Depletion  of  HREE  relative  to  LREE  is 
controlled by garnet and amphiboles retained in the residuum (Rollinson, 1993).",rules,PLACE,32.2675039,-101.9190317,"Martin County, Texas, United States",APPROXIMATE
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",Migmatites,15,"Figure 5.2.1 (A) The image illustrates the formation of sub-grains and subsequent rotation of the sub-
grains. The  image  also  shows  pressure  solution. (B) Chessboard sub-grains  in the  samples  occur  in 
minor amounts. 5.3. Migmatites  
Migmatites  are  a  mixture  of  two  or  more  petrographically  distinct  parts  (Sawyer,  2008). They  form  by  partial  melting  of  a  source  rock.",rules,PLACE,48.0238611,6.6372856,"Migmatites et Granites, Sentier des Moines, Saint-Amé, Épinal, Vosges, Grand Est, Metropolitan France, 88120, France",APPROXIMATE
