filename,page,mention,location
2011_Peters_East Markoye_2011.txt,6,"2.2. Location and Physiography 
The study area is situated approximately 2 km east of the town of Markoye and is located 12 
km west of the international border of Niger and 38 km south of the border of Mali (Fig. 2). The town of Markoye is located at the divide between the Sahel and the Sahara; everything 
north of the town is considered to be the Sahara Desert. Thus, the field area is an arid and hot 
environment with much of the surface covered with sand and loose gravels making outcrop 
difficult to find in the low-lying areas. The areas of high relief however, are desert mountains 
that contain a large amount of rock which, unfortunately, was dominated by  loose boulders 
and very little in situ-outcrop.",Sahara Desert
2011_Peters_East Markoye_2011.txt,9,"These  authors  mentioned  that  the  Tarkwa 
Group formed as a result of erosion of Birimian rocks and overlies the Birimian Supergroup 
unconformably. Milesi  et  al. (1989,  1992)  stated  that  the  region  to  the  east  of  the  town  of 
Markoye  is  made  up  Tarkwa  Group  sediments. Tshibubudze  et  al. (2009)  disagreed  with 
these conclusions as the stratigraphy does not match the type section for the Tarkwa Group in 
Ghana (Milesi et al., 1989, 1991; Bossiere et al., 1996). Brown  et  al.",east of the town of Markoye
2011_Peters_East Markoye_2011.txt,9,"These  authors  mentioned  that  the  Tarkwa 
Group formed as a result of erosion of Birimian rocks and overlies the Birimian Supergroup 
unconformably. Milesi  et  al. (1989,  1992)  stated  that  the  region  to  the  east  of  the  town  of 
Markoye  is  made  up  Tarkwa  Group  sediments. Tshibubudze  et  al. (2009)  disagreed  with 
these conclusions as the stratigraphy does not match the type section for the Tarkwa Group in 
Ghana (Milesi et al., 1989, 1991; Bossiere et al., 1996). Brown  et  al.",Ghana
2011_Peters_East Markoye_2011.txt,10,"according to Leube et al. (1990) and Milesi et al. (1991) is classified as being predominantly 
conglomerate units with smaller sandstone and phyllite units. The  formation  of  thick  greywacke  sequences  generally  relates  to  rapid  deposition  as  to 
disallow  sorting  of  material. In  review  of  large  greywacke  units  in  modern  day  or  recent 
geological  environments,  the  Wanganui  Basin  in  New  Zealand  is  described  by  Carter  and 
Naish  (1998)  and  Proust  et  al. (2005)  as  a  shallow  marine  environment  that  is  Plio-
Pleistocene  in  age.","Wanganui Basin, New Zealand"
2011_Peters_East Markoye_2011.txt,10,"The  basin  demonstrates  a  full  range  of  sedimentary  facies. Carter  and 
Naish  (1998)  identified  that  equal  amounts  of  sedimentation  and  subsidence  are  necessary. Uplift  and  subsidence  were,  in  the  case  of  the  Wanganui  Basin,  controlled  by  eustatic 
changes which created an environment prone to rapid deposition. The Wanganui Basin sits in 
a  back-arc  setting  at  the  convergence  of  the  Pacific  Plate  with  the  Australian  Plate. It  is 
possible  that  its  formation  occurred  in  the  same  environment. Lithospheric  loading  and 
downwarping created by adjacent subduction is credited with basin formation.",Wanganui Basin
2011_Peters_East Markoye_2011.txt,10,"This resulted 
in thick units of greywacke being deposited which is similar and therefore significant for the 
East  Markoye  region. The  tectonic  setting  of  the  Wanganui  Basin  is  described  in  detail  by 
Proust  et  al. (2005). They  explained  that  the  basin  is  situated  on  the  Australian  Plate 
approximately  200  km  behind  an  active  zone  of  subduction. In  this  subduction  zone,  the 
Pacific  Plate  is  thrust  beneath  the  Australian  Plate  obliquely. The  angle  of  subduction  has 
remained constant for about 25 million years and is responsible for the creation of large fault 
systems that lie between the fore-arc basin and the Wanganui Basin.",East Markoye region
2011_Peters_East Markoye_2011.txt,10,"This resulted 
in thick units of greywacke being deposited which is similar and therefore significant for the 
East  Markoye  region. The  tectonic  setting  of  the  Wanganui  Basin  is  described  in  detail  by 
Proust  et  al. (2005). They  explained  that  the  basin  is  situated  on  the  Australian  Plate 
approximately  200  km  behind  an  active  zone  of  subduction. In  this  subduction  zone,  the 
Pacific  Plate  is  thrust  beneath  the  Australian  Plate  obliquely. The  angle  of  subduction  has 
remained constant for about 25 million years and is responsible for the creation of large fault 
systems that lie between the fore-arc basin and the Wanganui Basin.",Wanganui Basin
2011_Peters_East Markoye_2011.txt,10,"According to Proust et 
al. (2005) the basin has a depth of 5 km; the sedimentary fill overlies basement rock which 
consists of a thick unit of greywacke that is Mesozoic in age. Reviewing 
literature 
that  describes  greywacke 
formation 
from 
the  Archaean  or 
Palaeoproterozoic is significant. Similar processes of formation could have occurred owing to 
the  same  environment  at  that  point  in  earth’s  history. The  Pine  Creek  Inlier  of  northern 
Australia contains rocks  which are Palaeoproterozoic in age. It consists of metasedimentary 
rocks  and  volcanic  units  that  overlie  Archaean  granite  basement  (Needham  et  al.,  1988).",Pine Creek Inlier
2011_Peters_East Markoye_2011.txt,10,"According to Proust et 
al. (2005) the basin has a depth of 5 km; the sedimentary fill overlies basement rock which 
consists of a thick unit of greywacke that is Mesozoic in age. Reviewing 
literature 
that  describes  greywacke 
formation 
from 
the  Archaean  or 
Palaeoproterozoic is significant. Similar processes of formation could have occurred owing to 
the  same  environment  at  that  point  in  earth’s  history. The  Pine  Creek  Inlier  of  northern 
Australia contains rocks  which are Palaeoproterozoic in age. It consists of metasedimentary 
rocks  and  volcanic  units  that  overlie  Archaean  granite  basement  (Needham  et  al.,  1988).",northern Australia
2011_Peters_East Markoye_2011.txt,11,"Needham  et  al. (1988)  stated  that  these  interbedded  units  make  up  only  a 
portion of the Bouma Cycle from a turbiditic origin. 3.3. Intrusions 
Tshibubudze et al. (2009) studied and described the intrusive bodies in the northern region of 
Burkina  Faso. The  Tin  Taradat  granodiorite  tonalite  is  intruded  by  the  Yacouba  Mafic 
Complex  (layered  pyroxenite  and  gabbro  suite).",northern region of Burkina Faso
2011_Peters_East Markoye_2011.txt,11,"Needham  et  al. (1988)  stated  that  these  interbedded  units  make  up  only  a 
portion of the Bouma Cycle from a turbiditic origin. 3.3. Intrusions 
Tshibubudze et al. (2009) studied and described the intrusive bodies in the northern region of 
Burkina  Faso. The  Tin  Taradat  granodiorite  tonalite  is  intruded  by  the  Yacouba  Mafic 
Complex  (layered  pyroxenite  and  gabbro  suite).",Tin Taradat
2011_Peters_East Markoye_2011.txt,11,"Needham  et  al. (1988)  stated  that  these  interbedded  units  make  up  only  a 
portion of the Bouma Cycle from a turbiditic origin. 3.3. Intrusions 
Tshibubudze et al. (2009) studied and described the intrusive bodies in the northern region of 
Burkina  Faso. The  Tin  Taradat  granodiorite  tonalite  is  intruded  by  the  Yacouba  Mafic 
Complex  (layered  pyroxenite  and  gabbro  suite).",Yacouba Mafic Complex
2011_Peters_East Markoye_2011.txt,11,"The  tonalite  intruded  a  granite  adamellite 
west of the Markoye Shear Zone. To the east, it intrudes Palaeoproterozoic sedimentary and 
volcanic sequences (Tshibubudze and Hein, in review). A swarm of late dolerite dykes which 
trend WNW and NW cross-cut the supracrustal rocks of the Birimian Supergroup. They are 
dated at 250 Ma. Tshibubudze et al. (2009) classified dolerite dykes with the same trend in 
the north-east of Burkina Faso, at Essakane, which also cross-cut supracrustal rocks including 
greywacke and siltstone.",west of the Markoye Shear Zone
2011_Peters_East Markoye_2011.txt,11,"The  tonalite  intruded  a  granite  adamellite 
west of the Markoye Shear Zone. To the east, it intrudes Palaeoproterozoic sedimentary and 
volcanic sequences (Tshibubudze and Hein, in review). A swarm of late dolerite dykes which 
trend WNW and NW cross-cut the supracrustal rocks of the Birimian Supergroup. They are 
dated at 250 Ma. Tshibubudze et al. (2009) classified dolerite dykes with the same trend in 
the north-east of Burkina Faso, at Essakane, which also cross-cut supracrustal rocks including 
greywacke and siltstone.",north-east of Burkina Faso
2011_Peters_East Markoye_2011.txt,11,"The  tonalite  intruded  a  granite  adamellite 
west of the Markoye Shear Zone. To the east, it intrudes Palaeoproterozoic sedimentary and 
volcanic sequences (Tshibubudze and Hein, in review). A swarm of late dolerite dykes which 
trend WNW and NW cross-cut the supracrustal rocks of the Birimian Supergroup. They are 
dated at 250 Ma. Tshibubudze et al. (2009) classified dolerite dykes with the same trend in 
the north-east of Burkina Faso, at Essakane, which also cross-cut supracrustal rocks including 
greywacke and siltstone.",Essakane
2011_Peters_East Markoye_2011.txt,11,"Porphyritic monzonite dykes were identified in the north east part of 
Burkina Faso and these are the subject of current geochronological studies at the University 
of Western Australia (Tshibubudze and Hein, in review). 3.4. Regional Tectonics 
The tectonism of the West African Craton has been studied in detail by Hirdes et al. (1996), 
Feybesse et al. (2006), Tshibubudze et al. (2009), Hein (2010) and Tshibubudze and Hein (in 
review).",north east part of Burkina Faso
2011_Peters_East Markoye_2011.txt,11,"Porphyritic monzonite dykes were identified in the north east part of 
Burkina Faso and these are the subject of current geochronological studies at the University 
of Western Australia (Tshibubudze and Hein, in review). 3.4. Regional Tectonics 
The tectonism of the West African Craton has been studied in detail by Hirdes et al. (1996), 
Feybesse et al. (2006), Tshibubudze et al. (2009), Hein (2010) and Tshibubudze and Hein (in 
review).",University of Western Australia
2011_Peters_East Markoye_2011.txt,11,"Tshibubudze et al. (2009) described the Markoye Shear Zone and 
the  Takabangou  Shear  Zone,  which  trend  NNE  and  are  steeply-east  dipping. Hein  (2010) 
10",Markoye Shear Zone
2011_Peters_East Markoye_2011.txt,11,"Tshibubudze et al. (2009) described the Markoye Shear Zone and 
the  Takabangou  Shear  Zone,  which  trend  NNE  and  are  steeply-east  dipping. Hein  (2010) 
10",Takabangou Shear Zone
2011_Peters_East Markoye_2011.txt,12,"Tshibubudze  et  al. (2009)  described 
gold mineralisation at Essakane and observed that it exists in stockwork veins that are made 
up  of  quartz  and  carbonate  material. Tshibubudze  et  al. (2009)  explained  that  Essakane 
goldfield hosts gold-bearing veins in an anticline that formed in D1 and was dilated in D2. 11",Essakane
2011_Peters_East Markoye_2011.txt,21,"5.0. Lithologies 
The geology of the study area consists of metamorphosed and folded sedimentary sequences 
as well as igneous intrusions. The geology is best expressed on ridges to the east and south-
east of the town of Markoye. In-situ outcrop is difficult to locate because approximately 95 % 
of the exposed rock mass is made up of dislodged boulders and blocks (Figs. 6 a & b). This 
made  retrieving  accurate  measurements  difficult.",east and south-east of the town of Markoye
2011_Peters_East Markoye_2011.txt,21,"5.0. Lithologies 
The geology of the study area consists of metamorphosed and folded sedimentary sequences 
as well as igneous intrusions. The geology is best expressed on ridges to the east and south-
east of the town of Markoye. In-situ outcrop is difficult to locate because approximately 95 % 
of the exposed rock mass is made up of dislodged boulders and blocks (Figs. 6 a & b). This 
made  retrieving  accurate  measurements  difficult.",town of Markoye
2011_Peters_East Markoye_2011.txt,28,"the rock and is rimmed by hornblende. Chlorite replaces hornblende. There is a high quartz 
concentration (~85-90 %) in a number of the granodiorite samples, which can interpreted as 
crustal contamination or wall-rock interaction during emplacement. The  dykes  crop  out  throughout  the  OGGB  and  host  gold  mineralisation  just  north  of  the 
Essakane  goldfield  (Tshibubudze  and  Hein,  in  review). They  are  deuterically  altered 
indicating low temperature metasomatism related to primary mineral changes in the magma 
before  solidification. The  crystals  remain  the  same  in  composition  but  are  essentially 
destroyed as the mineral begins to break down compositionally (Neuerburg, 1958).",OGGB
2011_Peters_East Markoye_2011.txt,28,"the rock and is rimmed by hornblende. Chlorite replaces hornblende. There is a high quartz 
concentration (~85-90 %) in a number of the granodiorite samples, which can interpreted as 
crustal contamination or wall-rock interaction during emplacement. The  dykes  crop  out  throughout  the  OGGB  and  host  gold  mineralisation  just  north  of  the 
Essakane  goldfield  (Tshibubudze  and  Hein,  in  review). They  are  deuterically  altered 
indicating low temperature metasomatism related to primary mineral changes in the magma 
before  solidification. The  crystals  remain  the  same  in  composition  but  are  essentially 
destroyed as the mineral begins to break down compositionally (Neuerburg, 1958).",north of the Essakane goldfield
2011_Peters_East Markoye_2011.txt,28,"This type 
of  alteration  is  common  and  can  affect  mafic  to  felsic  rocks  during  crystallisation. An 
example  where  deuteric  alteration  affects  quartz  monzonites,  similar  in  composition  to  the 
dykes  of  the  field  area,  is  from  the  Boulder  Batholith  in  Montana,  USA. In  this  case,  the 
alteration is related to the formation of ore deposits hosted within the intrusion (Neuerburg, 
1958). 27",Boulder Batholith
2011_Peters_East Markoye_2011.txt,28,"This type 
of  alteration  is  common  and  can  affect  mafic  to  felsic  rocks  during  crystallisation. An 
example  where  deuteric  alteration  affects  quartz  monzonites,  similar  in  composition  to  the 
dykes  of  the  field  area,  is  from  the  Boulder  Batholith  in  Montana,  USA. In  this  case,  the 
alteration is related to the formation of ore deposits hosted within the intrusion (Neuerburg, 
1958). 27","Montana, USA"
2011_Peters_East Markoye_2011.txt,29,"The  field  area  and  the  OGGB  do  not  exhibit  the  correct  criteria  for  large-scale  contact 
metamorphism. One  would  expect  to  see  a  prominent  zonation  to  an  igneous  mass. In  the 
case  of  the  Pine  Creek  Inlier,  a  zonation  from  hornfels  to  greenschist  is  mappable,  with  a 
definable  biotite  isograd  (Hein,  2003). Burial  metamorphism  is  an  active  process  which 
would  have  involved  basin  subsidence  and  a  resulting  increase  in  the  geothermal  gradient. There  would  be  an  increase  in  pressure  and  temperature  as  well  as  the  development  of 
bedding parallel cleavage at depth (Vernon and Clarke, 2008). Cleavage is not present in the 
rocks,  even  at  a  petrographic  scale  and  there  is  no  mineral  fabric  suggesting  burial 
metamorphism.",Pine Creek Inlier
2011_Peters_East Markoye_2011.txt,38,"sequence  with  occasional  mud  drapes  making  up  the  Bouma  Te/f  layer  of  the  sequence. Layers A and B often occur together in coarser grained sediments which is the case for the 
greywackes (Boggs, 2004) as shown by Figure 14. Figure 14: Classic model of the Bouma Cycle (Shanmugam, 1997). Stratigraphically, the entire field area was previously assigned to the metasedimentary rocks 
of the Tarkwa Group (Milesi et al., 1989, 1992; Castaing et al., 2003) which represents the 
erosional  product  of  the  Birimian  Supergroup. The  correlation  with  the  Tarkwa  Group  was 
based on the single conglomerate unit in the study area and several conglomerate bands near 
the  Essakane  gold  mine  (Milesi  et  al.,  1989,  1991;  Bossiere  et  al.,  1996). The  Tarkwaian 
conglomerates in the type section in Ghana consist mostly of quartz vein clasts and a minor 
proportion  of  quartzite  pebbles  in  a  dark,  fine-grained,  sandy  matrix.",Essakane gold mine
2011_Peters_East Markoye_2011.txt,38,"sequence  with  occasional  mud  drapes  making  up  the  Bouma  Te/f  layer  of  the  sequence. Layers A and B often occur together in coarser grained sediments which is the case for the 
greywackes (Boggs, 2004) as shown by Figure 14. Figure 14: Classic model of the Bouma Cycle (Shanmugam, 1997). Stratigraphically, the entire field area was previously assigned to the metasedimentary rocks 
of the Tarkwa Group (Milesi et al., 1989, 1992; Castaing et al., 2003) which represents the 
erosional  product  of  the  Birimian  Supergroup. The  correlation  with  the  Tarkwa  Group  was 
based on the single conglomerate unit in the study area and several conglomerate bands near 
the  Essakane  gold  mine  (Milesi  et  al.,  1989,  1991;  Bossiere  et  al.,  1996). The  Tarkwaian 
conglomerates in the type section in Ghana consist mostly of quartz vein clasts and a minor 
proportion  of  quartzite  pebbles  in  a  dark,  fine-grained,  sandy  matrix.",Ghana
2011_Peters_East Markoye_2011.txt,42,"10.0. Discussion 
The  WAC,  namely  the  Birimian  Supergroup,  consists  of  many  island  arc  terranes  that 
underwent terrane accretion (2300-2250 Ma). This occurred during the process of subduction, 
thus  creating  a  felsic  continental  crust  due  to  its  association  with  TTG,  calc-alkaline 
plutonism (Klein and Moura., 2009). Following this, other cratonic blocks  which formed in 
the  same  way,  collided  with  the  accreted  arcs  to  form  orogenic  belts  and  the  closure  of  an 
oceanic basin. The Eburnean Orogeny is an example of this process (Hirdes et al., 1996; Hein 
et al., 2004; Feybesse et al., 2006). The OGGB is one of the island arc terranes, and the east 
Markoye  region  is  most  likely  a  small,  but  proximal  to  the  source,  portion  of  the  back-arc 
basin.",east Markoye region
2011_Peters_East Markoye_2011.txt,43,"A similar, modern environment exists in the Wanganui Basin in New Zealand. The Wanganui 
Basin is a shallow marine environment from the Plio-Pleistocene and exhibits a full range of 
sedimentary facies. It is still being in-filled today with sediment from an active volcanic arc 
(Carter and Naish.,  1998). Thick sequences of  greywacke and thin conglomerate beds from 
the Mezozoic are deposited in the 5 km deep basin and overlie basement rocks (Proust et al., 
2005). The basin is interpreted to occupy a back-arc setting today at the convergent margin of 
the  Pacific  and  Australian  plates,  where  rapid  deposition  has  taken  place  due  to  eustatic 
changes  (Carter  and  Naish.,  1998). The  Wanganui  Basin  is  infilled  with  shales,  sandstones 
and  thick  greywacke  sequences  with  intercalated  conglomerate  beds.",Wanganui Basin
2011_Peters_East Markoye_2011.txt,43,"A similar, modern environment exists in the Wanganui Basin in New Zealand. The Wanganui 
Basin is a shallow marine environment from the Plio-Pleistocene and exhibits a full range of 
sedimentary facies. It is still being in-filled today with sediment from an active volcanic arc 
(Carter and Naish.,  1998). Thick sequences of  greywacke and thin conglomerate beds from 
the Mezozoic are deposited in the 5 km deep basin and overlie basement rocks (Proust et al., 
2005). The basin is interpreted to occupy a back-arc setting today at the convergent margin of 
the  Pacific  and  Australian  plates,  where  rapid  deposition  has  taken  place  due  to  eustatic 
changes  (Carter  and  Naish.,  1998). The  Wanganui  Basin  is  infilled  with  shales,  sandstones 
and  thick  greywacke  sequences  with  intercalated  conglomerate  beds.",New Zealand
2011_Peters_East Markoye_2011.txt,43,"This  is  a  good 
correlation  to  the  sediments  of  the  Birimian  Supergroup  and  particularly  the  4  km  thick 
sequence of greywacke in the study area. It is typical for thick sedimentary sequences to be 
deposited  during  the  spreading  of  a  back-arc  environment  like  in  back-arc  environments  in 
Norway  (between  Solund  and  Bremanger)  and  New  Zealand  (Ravanas,  1991;  Ravanas  and 
Furnes, 1995; Carter and Naish., 1998). Sediment sourced from the arc settings  was transported in river systems that travelled from 
the uplifted regions, towards the basin. The sediment was then deposited in a deltaic system. The  greywackes  were  deposited  in  this  deltaic  system  on  a  steep  submarine  slope  which 
allowed for rapid deposition, gravity sliding and slumping, synonymous with turbiditic flows. The erosion rate of the arc is interpreted as getting progressively slower throughout the filling 
of  the  basin.",Norway (between Solund and Bremanger)
2011_Peters_East Markoye_2011.txt,43,"This  is  a  good 
correlation  to  the  sediments  of  the  Birimian  Supergroup  and  particularly  the  4  km  thick 
sequence of greywacke in the study area. It is typical for thick sedimentary sequences to be 
deposited  during  the  spreading  of  a  back-arc  environment  like  in  back-arc  environments  in 
Norway  (between  Solund  and  Bremanger)  and  New  Zealand  (Ravanas,  1991;  Ravanas  and 
Furnes, 1995; Carter and Naish., 1998). Sediment sourced from the arc settings  was transported in river systems that travelled from 
the uplifted regions, towards the basin. The sediment was then deposited in a deltaic system. The  greywackes  were  deposited  in  this  deltaic  system  on  a  steep  submarine  slope  which 
allowed for rapid deposition, gravity sliding and slumping, synonymous with turbiditic flows. The erosion rate of the arc is interpreted as getting progressively slower throughout the filling 
of  the  basin.",New Zealand
2011_Peters_East Markoye_2011.txt,43,"This  is  shown  by  the  lower  greywacke  unit  in  the  stratigraphic  succession, 
having  a much higher abundance of lithic fragments  and igneous minerals  compared to  the 
overlying units. The Dembam Conglomerate Member and those described by Tshibubudze et 
al.,  (2009)  lower  down  in  the  stratigraphy  may  have  been  deposited  very  rapidly,  possibly 
within 1 day. Perhaps this occurred during times of flood. This negates the idea of the field 
area’s original classification of Tarkwa Group rocks (Milesi et al., 1989, 1992). The Tarkwa 
Group, in the type section in Ghana overlies the Birimian supracrustal rocks unconformably. The  Dembam  Conglomerate  Member  is  interbedded  within  greywacke  from  the  Birimian 
Supergroup and does not fit the description for the Tarkwaian Group, post-orogenic molasse 
deposits, as described in Ghana (Milesi et al., 1991; Leube et al., 1990).",Ghana
2011_Peters_East Markoye_2011.txt,44,"This  resulted  in  regional  metamorphism  to  middle  greenschist 
facies. This metamorphism is ubiquitous across the field area and the OGGB except in places 
where large granitic batholiths such as the Dori Batholith (pre-D1) intruded and metamorphic 
grade  attain  granulite  facies  (Tshibubudze  et  al.,  2009;  Tshibubudze  and  Hein,  2010). Syn-
D2, N-S extensional faulting occurs throughout the belt. Dilation of the fault is a result of the 
maximum compressive stress in a SE-NW orientation. Back-arc  extension  and  crustal  thinning  occurred  in  the  OGGB. This  allowed  for  mantle 
upwelling  and  the  formation  of  a  spreading  centre.",Dori Batholith
2011_Peters_East Markoye_2011.txt,44,"This  resulted  in  regional  metamorphism  to  middle  greenschist 
facies. This metamorphism is ubiquitous across the field area and the OGGB except in places 
where large granitic batholiths such as the Dori Batholith (pre-D1) intruded and metamorphic 
grade  attain  granulite  facies  (Tshibubudze  et  al.,  2009;  Tshibubudze  and  Hein,  2010). Syn-
D2, N-S extensional faulting occurs throughout the belt. Dilation of the fault is a result of the 
maximum compressive stress in a SE-NW orientation. Back-arc  extension  and  crustal  thinning  occurred  in  the  OGGB. This  allowed  for  mantle 
upwelling  and  the  formation  of  a  spreading  centre.",OGGB
2011_Peters_East Markoye_2011.txt,45,"more than a 1.9 Ga hiatus in the sedimentary sequence of the belt. This ferricrete is overlain 
by recent, unconsolidated aeolian sediments and alluvium which make up most of the recent 
stratigraphy of the OGGB. 39Ar-Ar40 age dating of laterite at Tambão, north of the field area, 
suggested  that  the  last  period  of  weathering  and  oxidation  was  between  18  Ma  and  3  Ma 
which was the time the iron-rich laterites formed (Beauvais et al., 2008). This weathering is a 
reworking  of  previously  formed  bauxite  deposits  from  a  tropical  palaeo-climate  that 
dominated  the  region  approximately  60  Ma. Mechanical  weathering  dominated  the  last  18 
Ma and ultimately produced the glacis that are seen today (Beauvais et al., 2008). The laterite 
and ferricrete form part of the stratigraphy in the field area.",Tambão
