filename,pages,location,geocode_str,geocode_lat,geocode_lon,source,location_type,doc_id,gold_decision,gold_canon,gold_country,notes
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,5,Markoye,"Markoye, Oudalan, Sahel, Burkina Faso",14.7095001,0.0948661,llm,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|5,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,"48,8",Markoye Shear,no-geocode-result,no-geocode-result,no-geocode-result,llm,PLACE,"2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|48,8",correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,6,Northern Hemisphere,"European Southern Observatory, 2, Karl-Schwarzschild-Straße, Hochschul- und Forschungszentrum, Garching bei München, Landkreis München, Bavaria, 85748, Germany",48.2596273,11.6713289,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|6,incorrect,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,4,Ouagadougou,"Ouagadougou, Kadiogo, Centre, Burkina Faso",12.3681873,-1.5270944,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|4,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,9,Oudalan- Gorouol greenstone,no-geocode-result,no-geocode-result,no-geocode-result,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|9,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,42,Oudalan- Gorouol greenstone belt,no-geocode-result,no-geocode-result,no-geocode-result,rules,GEOLOGICAL_UNIT,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|42,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,41,Reading,"Reading, England, United Kingdom",51.4514953,-0.9836342,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|41,incorrect,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,5,Road to Dori,"Sunshine 60 Street, Higashi Ikebukuro 3, Higashi Ikebukuro, Toshima, Tokyo, 170-8418, Japan",35.7305256,139.7176167,llm,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|5,incorrect,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,47,Saint-Malo,"Saint-Malo, Ille-et-Vilaine, Brittany, Metropolitan France, 35400, France",48.649518,-2.0260409,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|47,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,47,"Saint-Malo, France","Saint-Malo, Ille-et-Vilaine, Brittany, Metropolitan France, 35400, France",48.649518,-2.0260409,llm,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|47,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,9,Tambao,"Tambao, Markoye, Oudalan, Sahel, Burkina Faso",14.7788614,0.0384507,llm,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|9,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,4,Tambao manganese deposit,"Tambao, Markoye, Oudalan, Sahel, Burkina Faso",14.7788614,0.0384507,llm,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|4,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,8,Tarkwa,"Tarkwa, Tarkwa-Nsuaem Municipal District, Western Region, Ghana",5.310935,-1.992426,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|8,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,47,Tin Taradat,"Ti-n-Taradat, Markoye, Oudalan, Sahel, Burkina Faso",14.6562836,0.1646254,llm,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|47,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,47,Vernon,"Vernon, Les Andelys, Eure, Normandy, Metropolitan France, 27200, France",49.0932008,1.4857205,rules,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|47,incorrect,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,49,WAC,"Wan Chai, Hennessy Road, Wan Chai South, Wan Chai, Wan Chai District, Hong Kong Island, Hong Kong, China",22.2775843,114.1728604,llm,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|49,incorrect,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,8,West African Craton,no-geocode-result,no-geocode-result,no-geocode-result,"llm,rules",GEOLOGICAL_UNIT,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|8,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,4,east of the KEMB,no-geocode-result,no-geocode-result,no-geocode-result,llm,APPROXIMATE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|4,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,4,east of the field,"The Meadows At Mitchell Field, East Meadow, Town of Hempstead, Nassau County, New York, United States",40.7156923,-73.5753478,llm,APPROXIMATE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|4,incorrect,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,6,eastern limits of the field,"The Field, Davidson's Mains, City of Edinburgh, Scotland, United Kingdom",55.9638487,-3.270035,llm,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|6,incorrect,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,4,northeast of Burkina Faso,Burkina Faso,12.0753083,-1.6880314,llm,PLACE,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|4,correct,,,
2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt,46,northern margin of the Dori Batholith,no-geocode-result,no-geocode-result,no-geocode-result,llm,GEOLOGICAL_UNIT,2011_Woolfe_The stratigraphy and metamorphic facies of the KEMB.txt|46,correct,,,
