filename,pages,location,geocode_str,geocode_lat,geocode_lon,source,location_type,doc_id,gold_decision
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",4,Saaba,"Saaba, Kadiogo, Centre, Burkina Faso",12.376944,-1.420833,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|4",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt","11,11,14,15",Saaba,"Saaba, Kadiogo, Centre, Burkina Faso",12.376944,-1.420833,"llm,rules",PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|11,11,14,15",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt","29,34,35,4",Saaba,"Saaba, Kadiogo, Centre, Burkina Faso",12.376944,-1.420833,llm,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|29,34,35,4",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",15,Sample KS-2012,"Sample Street, Council Grove, Morris County, Kansas, 66846, United States",38.6522532,-96.4870652,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|15",incorrect
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt","35,4,4",Senegal,Senegal,14.4750607,-14.4529612,"llm,rules",PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|35,4,4",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",7,Tarkwa,"Tarkwa, Tarkwa-Nsuaem Municipal District, Western Region, Ghana",5.310935,-1.992426,rules,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|7",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",6,Toudeni basin,no-geocode-result,no-geocode-result,no-geocode-result,llm,GEOLOGICAL_UNIT,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|6",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt","5,5,6",West African Craton,no-geocode-result,no-geocode-result,no-geocode-result,"llm,rules",GEOLOGICAL_UNIT,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|5,5,6",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",7,southern Ghana,"Ghana, Mbeya Municipal, Mbeya Region, Southern Highlands Zone, Tanzania",-8.8859293,33.436958,llm,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|7",correct
"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt",10,town of Pissila,"Pissila, Sanmatenga, Central-North, Burkina Faso",13.1658394,-0.8287661,llm,PLACE,"2012_Simoko_Petrology, geochemistry and structure of the Pissila batholith and the Saaba Zone gneiss.txt|10",correct
